ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,1,"96,089","4,067","1,225,358","4,067","23,477",0,"1,082","1,276",769,0,0,Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,2,"100,379","4,111","1,454,425","4,111","30,238",0,"1,700","1,696",385,0,0,Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,3,"149,651","6,193","2,605,580","6,193","47,867",0,"9,890","7,992",508,0,76,Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,4,"224,461","8,641","4,418,211","8,641","58,316",0,"26,634","29,624",949,0,"2,188",Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,5,"382,414","14,803","5,660,880","14,803","57,697",0,"40,693","26,068","5,996",0,"3,432",Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,6,"521,059","19,875","8,787,274","19,875","113,785",0,"53,243","28,244","21,223",0,"4,290",Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,7,"643,566","23,790","12,273,871","23,790","107,372",0,"122,521","41,800","40,879",0,"10,858",Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,8,"659,857","23,804","12,556,059","23,804","110,571",0,"131,635","43,496","35,449",0,"9,448",Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,9,"520,210","18,594","9,909,274","18,594","104,287",0,"95,014","38,396","14,875",0,"8,436",Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,10,"356,370","12,564","5,403,456","12,564","57,448",0,"35,129","30,932","3,918",0,"1,916",Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,11,"148,459","5,954","2,540,680","5,954","41,336",0,"7,557","14,940",185,0,210,Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,12,"98,893","4,077","857,431","4,077","10,501",0,928,"1,456",0,0,78,Yosemite NP,YOSE,National Park,Pacific West ,CA,2010,"3,901,408","146,473","67,692,499","3,760,968","762,895",0,"526,026","265,920","125,136",0,"40,932"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,1,"129,432","5,195","1,464,648","5,195","27,155",0,551,428,908,0,154,Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,2,"143,321","5,566","1,829,267","5,566","26,428",0,"5,860","5,972",950,0,528,Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,3,"170,681","6,977","2,465,199","6,977","38,028",0,"8,743","9,992",449,0,352,Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,4,"278,349","10,672","4,596,345","10,672","51,551",0,"31,141","29,312","2,028",0,418,Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,5,"385,670","14,871","6,427,305","14,871","70,712",0,"43,097","35,412","8,974",0,"2,482",Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,6,"543,690","19,715","10,168,300","19,715","107,221",0,"72,270","48,456","34,108",0,"4,011",Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,7,"504,230","18,144","9,157,849","18,144","86,144",0,"67,527","36,400","42,687",0,"4,267",Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,8,"441,867","15,524","5,510,339","15,524","23,292",0,"40,542","25,880","25,816",0,"2,363",Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,9,"524,387","18,500","6,706,211","18,500","93,083",0,"33,372","17,540",0,0,"1,872",Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,10,"360,776","13,004","5,244,184","13,004","58,375",0,"30,978","27,124","6,391",0,0,Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,11,"215,854","8,300","3,240,646","8,300","40,974",0,"16,369","18,196","1,433",0,220,Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,12,"311,179","15,183","2,719,210","15,183","31,309",0,"4,369","5,036",833,0,0,Yosemite NP,YOSE,National Park,Pacific West ,CA,2018,"4,009,436","151,651","59,529,503","3,837,229","654,272",0,"354,819","259,748","124,577",0,"16,667"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,1,"116,746","4,902","1,430,396","4,902","23,306",0,"2,946","3,388",538,0,60,Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,2,"111,665","4,674","1,079,573","4,674","17,093",0,488,400,635,0,0,Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,3,"173,610","6,745","1,845,865","6,745","30,665",0,"1,043","1,328","1,468",0,418,Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,4,"297,207","11,187","3,774,333","11,187","45,741",0,"20,367","13,668","1,531",0,418,Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,5,"393,004","14,916","5,212,347","14,916","59,043",0,"31,507","16,968","4,924",0,"3,534",Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,6,"496,625","18,912","6,939,607","18,912","90,910",0,"36,110","9,524","19,050",0,"3,566",Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,7,"717,462","26,017","10,966,092","26,017","84,692",0,"93,530","32,000","48,052",0,"5,254",Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,8,"703,153","25,476","12,123,498","25,476","91,329",0,"116,330","46,524","42,027",0,"11,209",Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,9,"584,664","20,523","10,787,066","20,523","99,853",0,"105,165","41,988","28,464",0,"5,378",Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,10,"448,939","15,750","6,304,836","15,750","63,733",0,"43,415","29,664","7,619",0,574,Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,11,"230,598","8,496","3,077,878","8,496","40,334",0,"14,666","12,564","1,182",0,0,Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,12,"149,188","6,004","1,967,075","6,004","35,574",0,"4,018","3,932",88,0,0,Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,"4,422,861","163,602","65,508,566","4,139,502","682,273",0,"469,585","211,948","155,578",0,"30,411"